team_name,game,team_league,team_country
Tranmere Rovers,fifa19,League Two,gb-eng
AFC Wimbledon,fifa19,League One,gb-eng
Wycombe Wanderers,fifa19,League One,gb-eng
Stevenage,fifa19,League Two,gb-eng
Blackpool FC,fifa19,League One,gb-eng
Walsall,fifa19,League One,gb-eng
Sandefjord Fotball,fifa19,Eliteserien,no
FC Energie Cottbus,fifa19,3. Liga,de
Bury,fifa19,League Two,gb-eng
Hamilton Academical FC,fifa19,Premiership,gb-sct
Grimsby Town,fifa19,League Two,gb-eng
Colchester United,fifa19,League Two,gb-eng
Northampton Town,fifa19,League Two,gb-eng
Forest Green Rovers,fifa19,League Two,gb-eng
Cheltenham Town,fifa19,League Two,gb-eng
Carlisle United,fifa19,League Two,gb-eng
Notts County,fifa19,League Two,gb-eng
Boyacá Chicó FC,fifa19,Categoría Primera A,co
IK Start,fifa19,Eliteserien,no
Newport County,fifa19,League Two,gb-eng
Swindon Town,fifa19,League Two,gb-eng
Cambridge United,fifa19,League Two,gb-eng
Dalkurd FF,fifa19,Allsvenskan,se
Exeter City,fifa19,League Two,gb-eng
St. Mirren,fifa19,Premiership,gb-sct
Yeovil Town,fifa19,League Two,gb-eng
Port Vale,fifa19,League Two,gb-eng
Trelleborgs FF,fifa19,Allsvenskan,se
Leones FC,fifa19,Categoría Primera A,co
Crawley Town,fifa19,League Two,gb-eng
Morecambe,fifa19,League Two,gb-eng
IF Brommapojkarna,fifa19,Allsvenskan,se
Crewe Alexandra,fifa19,League Two,gb-eng
Macclesfield Town,fifa19,League Two,gb-eng
CF Reus Deportiu,fifa19,La Liga 2,es
Cork City,fifa19,Premier Division,ie
St Patrick's Athletic FC,fifa19,Premier Division,ie
Derry City,fifa19,Premier Division,ie
Bohemian FC,fifa19,Premier Division,ie
Waterford FC,fifa19,Premier Division,ie
Sligo Rovers,fifa19,Premier Division,ie
Limerick FC,fifa19,Premier Division,ie
Bray Wanderers,fifa19,Premier Division,ie
